,type,# terminal,# cells,fm_ind,t_ind,k,time
243,graph,6,50,0008,4,7,36.64611196517944
244,graph,6,50,0008,4,8,37.90126609802246
245,graph,6,50,0009,0,2,81.4782509803772
246,graph,6,50,0009,0,3,40.18834710121155
247,graph,6,50,0009,0,4,40.35873365402222
248,graph,6,50,0009,0,5,37.41016221046448
249,graph,6,50,0009,0,6,33.588043212890625
250,graph,6,50,0009,0,7,32.40346479415893
251,graph,6,50,0009,0,8,33.15883064270019
252,graph,6,50,0009,1,2,76.11918425559998
253,graph,6,50,0009,1,3,38.76598882675171
254,graph,6,50,0009,1,4,40.40733742713928
255,graph,6,50,0009,1,5,42.084782123565674
256,graph,6,50,0009,1,6,43.319228649139404
257,graph,6,50,0009,1,7,44.16277194023132
258,graph,6,50,0009,1,8,39.92549920082092
259,graph,6,50,0009,2,2,82.03109312057495
260,graph,6,50,0009,2,3,42.807520151138306
261,graph,6,50,0009,2,4,44.664013385772705
262,graph,6,50,0009,2,5,42.115885734558105
263,graph,6,50,0009,2,6,44.68307065963745
264,graph,6,50,0009,2,7,43.5378634929657
265,graph,6,50,0009,2,8,38.68479108810425
266,graph,6,50,0009,3,2,70.74991989135742
267,graph,6,50,0009,3,3,28.907936096191406
268,graph,6,50,0009,3,4,33.24604320526123
269,graph,6,50,0009,3,5,32.52944803237915
270,graph,6,50,0009,3,6,34.60337853431702
271,graph,6,50,0009,3,7,33.40177774429321
272,graph,6,50,0009,3,8,30.234689712524414
273,graph,6,50,0009,4,2,77.10765528678894
274,graph,6,50,0009,4,3,38.853888273239136
275,graph,6,50,0009,4,4,37.81962466239929
276,graph,6,50,0009,4,5,41.216325521469116
277,graph,6,50,0009,4,6,36.70771050453186
278,graph,6,50,0009,4,7,34.686352252960205
279,graph,6,50,0009,4,8,32.00260138511658
280,graph,6,50,0010,0,2,67.91113948822021
281,graph,6,50,0010,0,3,36.67308259010315
282,graph,6,50,0010,0,4,41.13919448852539
283,graph,6,50,0010,0,5,35.54809546470642
284,graph,6,50,0010,0,6,33.01977252960205
285,graph,6,50,0010,0,7,32.00332593917847
286,graph,6,50,0010,0,8,14.279052019119263
287,graph,6,50,0010,1,2,50.818450689315796
288,graph,6,50,0010,1,3,27.672398805618283
289,graph,6,50,0010,1,4,26.184287786483765
290,graph,6,50,0010,1,5,25.125930070877075
291,graph,6,50,0010,1,6,23.06710720062256
292,graph,6,50,0010,1,7,22.504581928253174
293,graph,6,50,0010,1,8,22.309924125671387
294,graph,6,50,0010,2,2,59.831000089645386
295,graph,6,50,0010,2,3,36.85141038894653
296,graph,6,50,0010,2,4,32.61306881904602
297,graph,6,50,0010,2,5,32.3334755897522
298,graph,6,50,0010,2,6,31.663029193878174
299,graph,6,50,0010,2,7,30.786344528198242
300,graph,6,50,0010,2,8,29.054072856903076
301,graph,6,50,0010,3,2,60.279703855514526
302,graph,6,50,0010,3,3,29.473531246185303
303,graph,6,50,0010,3,4,33.65773582458496
304,graph,6,50,0010,3,5,29.905301809310913
305,graph,6,50,0010,3,6,30.951972723007202
306,graph,6,50,0010,3,7,31.335630178451538
307,graph,6,50,0010,3,8,31.88570499420166
308,graph,6,50,0010,4,2,59.47564244270325
309,graph,6,50,0010,4,3,32.170002937316895
310,graph,6,50,0010,4,4,34.646077394485474
311,graph,6,50,0010,4,5,32.189181089401245
312,graph,6,50,0010,4,6,32.785207986831665
313,graph,6,50,0010,4,7,30.279666662216187
314,graph,6,50,0010,4,8,33.22800850868226
315,graph,6,50,0011,0,2,73.66209554672241
316,graph,6,50,0011,0,3,39.637935161590576
317,graph,6,50,0011,0,4,40.16543936729431
318,graph,6,50,0011,0,5,40.03638744354248
319,graph,6,50,0011,0,6,18.69344472885132
320,graph,6,50,0011,0,7,18.731471300125122
321,graph,6,50,0011,0,8,18.702765703201294
322,graph,6,50,0011,1,2,63.63043761253357
323,graph,6,50,0011,1,3,27.874836206436157
324,graph,6,50,0011,1,4,28.65226912498474
325,graph,6,50,0011,1,5,27.039790630340576
326,graph,6,50,0011,1,6,25.732738733291626
327,graph,6,50,0011,1,7,24.404653787612915
328,graph,6,50,0011,1,8,22.32447624206543
329,graph,6,50,0011,2,2,71.64091205596924
330,graph,6,50,0011,2,3,32.73093366622925
331,graph,6,50,0011,2,4,33.926255226135254
332,graph,6,50,0011,2,5,33.71422839164734
333,graph,6,50,0011,2,6,34.04740333557129
334,graph,6,50,0011,2,7,31.3271484375
335,graph,6,50,0011,2,8,30.96600914001465
336,graph,6,50,0011,3,2,79.55064678192139
337,graph,6,50,0011,3,3,36.80708456039429
338,graph,6,50,0011,3,4,36.38366580009461
339,graph,6,50,0011,3,5,32.156970262527466
340,graph,6,50,0011,3,6,31.77235746383667
341,graph,6,50,0011,3,7,14.218774080276491
342,graph,6,50,0011,3,8,14.181634664535524
343,graph,6,50,0011,4,2,56.734859228134155
344,graph,6,50,0011,4,3,25.91288661956787
345,graph,6,50,0011,4,4,22.73517394065857
346,graph,6,50,0011,4,5,22.38480520248413
347,graph,6,50,0011,4,6,21.281614065170288
348,graph,6,50,0011,4,7,19.59829878807068
349,graph,6,50,0011,4,8,18.178834676742554
350,graph,6,50,0017,0,2,66.9649772644043
351,graph,6,50,0017,0,3,39.79374670982361
352,graph,6,50,0017,0,4,42.022881507873535
353,graph,6,50,0017,0,5,42.83929753303528
354,graph,6,50,0017,0,6,39.09506416320801
355,graph,6,50,0017,0,7,47.82640552520753
356,graph,6,50,0017,0,8,35.65973711013794
357,graph,6,50,0017,1,2,65.66364455223083
358,graph,6,50,0017,1,3,35.40620183944702
359,graph,6,50,0017,1,4,34.12253451347351
360,graph,6,50,0017,1,5,35.35771131515503
361,graph,6,50,0017,1,6,34.144190311431885
362,graph,6,50,0017,1,7,34.435009479522705
363,graph,6,50,0017,1,8,31.687973022460938
364,graph,6,50,0017,2,2,65.14588737487793
365,graph,6,50,0017,2,3,35.20393896102905
366,graph,6,50,0017,2,4,37.66002297401428
367,graph,6,50,0017,2,5,38.300731897354126
368,graph,6,50,0017,2,6,43.11431550979614
369,graph,6,50,0017,2,7,38.021594524383545
370,graph,6,50,0017,2,8,32.67040514945984
371,graph,6,50,0017,3,2,53.43132281303406
372,graph,6,50,0017,3,3,37.398751974105835
373,graph,6,50,0017,3,4,31.675055503845215
374,graph,6,50,0017,3,5,30.521427392959595
375,graph,6,50,0017,3,6,29.73259735107422
376,graph,6,50,0017,3,7,40.186737060546875
377,graph,6,50,0017,3,8,30.39745259284973
378,graph,6,50,0017,4,2,70.2591199874878
379,graph,6,50,0017,4,3,38.874699115753174
380,graph,6,50,0017,4,4,35.24174380302429
381,graph,6,50,0017,4,5,33.821001529693596
382,graph,6,50,0017,4,6,30.92265486717224
383,graph,6,50,0017,4,7,31.744153499603264
384,graph,6,50,0017,4,8,30.49846768379211
385,graph,6,50,0018,0,2,66.65966415405273
386,graph,6,50,0018,0,3,28.111026287078857
387,graph,6,50,0018,0,4,26.678544998168945
388,graph,6,50,0018,0,5,24.946839094161987
389,graph,6,50,0018,0,6,23.27929663658142
390,graph,6,50,0018,0,7,22.290971279144287
391,graph,6,50,0018,0,8,21.049129962921143
392,graph,6,50,0018,1,2,91.82473921775818
393,graph,6,50,0018,1,3,48.59612560272217
394,graph,6,50,0018,1,4,39.47981142997742
395,graph,6,50,0018,1,5,37.98542761802673
396,graph,6,50,0018,1,6,39.80260753631592
397,graph,6,50,0018,1,7,40.00248432159424
398,graph,6,50,0018,1,8,40.439085960388184
399,graph,6,50,0018,2,2,84.57884621620178
400,graph,6,50,0018,2,3,43.283421754837036
401,graph,6,50,0018,2,4,42.910300970077515
402,graph,6,50,0018,2,5,51.1847927570343
403,graph,6,50,0018,2,6,51.50874853134155
404,graph,6,50,0018,2,7,45.09956192970276
405,graph,6,50,0018,2,8,45.24755930900574
406,graph,6,50,0018,3,2,88.65870118141174
407,graph,6,50,0018,3,3,49.3881299495697
408,graph,6,50,0018,3,4,58.36359882354736
409,graph,6,50,0018,3,5,44.107911109924316
410,graph,6,50,0018,3,6,39.25923228263855
411,graph,6,50,0018,3,7,40.640697717666626
412,graph,6,50,0018,3,8,40.05954575538635
413,graph,6,50,0018,4,2,89.09359169006348
414,graph,6,50,0018,4,3,49.299400091171265
415,graph,6,50,0018,4,4,43.36622905731201
416,graph,6,50,0018,4,5,47.711387634277344
417,graph,6,50,0018,4,6,18.76656985282898
418,graph,6,50,0018,4,7,18.77928590774536
419,graph,6,50,0018,4,8,18.796435356140137
420,graph,6,50,0019,0,2,74.39274644851685
421,graph,6,50,0019,0,3,42.750104904174805
422,graph,6,50,0019,0,4,43.123844385147095
423,graph,6,50,0019,0,5,42.755576610565186
424,graph,6,50,0019,0,6,41.29827809333801
425,graph,6,50,0019,0,7,37.558220863342285
426,graph,6,50,0019,0,8,18.963223695755005
427,graph,6,50,0019,1,2,65.65756273269653
428,graph,6,50,0019,1,3,38.93460416793823
429,graph,6,50,0019,1,4,34.79425001144409
430,graph,6,50,0019,1,5,34.986531019210815
431,graph,6,50,0019,1,6,33.245322465896606
432,graph,6,50,0019,1,7,32.890913009643555
433,graph,6,50,0019,1,8,32.01616168022156
434,graph,6,50,0019,2,2,85.36288213729858
435,graph,6,50,0019,2,3,42.39269280433655
436,graph,6,50,0019,2,4,45.84332466125488
437,graph,6,50,0019,2,5,45.810556173324585
438,graph,6,50,0019,2,6,49.11451721191406
439,graph,6,50,0019,2,7,23.714529752731323
440,graph,6,50,0019,2,8,23.655375957489014
441,graph,6,50,0019,3,2,79.21968579292297
442,graph,6,50,0019,3,3,37.33978271484375
443,graph,6,50,0019,3,4,39.135536432266235
444,graph,6,50,0019,3,5,38.051493406295776
445,graph,6,50,0019,3,6,39.82637071609497
446,graph,6,50,0019,3,7,15.577695846557617
447,graph,6,50,0019,3,8,15.81577730178833
448,graph,6,50,0019,4,2,69.41235423088074
449,graph,6,50,0019,4,3,34.04308581352234
450,graph,6,50,0019,4,4,35.47234344482422
451,graph,6,50,0019,4,5,30.980640172958378
452,graph,6,50,0019,4,6,30.252743721008308
453,graph,6,50,0019,4,7,29.599924325942997
454,graph,6,50,0019,4,8,29.49344944953919
455,graph,6,50,0020,0,2,73.8973560333252
456,graph,6,50,0020,0,3,36.14789056777954
457,graph,6,50,0020,0,4,36.689858198165894
458,graph,6,50,0020,0,5,31.659083604812622
459,graph,6,50,0020,0,6,30.719733238220215
460,graph,6,50,0020,0,7,29.543258905410767
461,graph,6,50,0020,0,8,28.236602067947388
462,graph,6,50,0020,1,2,72.62963080406189
463,graph,6,50,0020,1,3,33.81469917297363
464,graph,6,50,0020,1,4,35.68458580970764
465,graph,6,50,0020,1,5,34.68482756614685
466,graph,6,50,0020,1,6,36.9926552772522
467,graph,6,50,0020,1,7,18.716049671173092
468,graph,6,50,0020,1,8,18.69052982330322
469,graph,6,50,0020,2,2,76.64561295509338
470,graph,6,50,0020,2,3,40.69904661178589
471,graph,6,50,0020,2,4,39.40734076499939
472,graph,6,50,0020,2,5,39.32786965370178
473,graph,6,50,0020,2,6,31.852602005004883
474,graph,6,50,0020,2,7,34.41190981864929
475,graph,6,50,0020,2,8,33.75220465660095
476,graph,6,50,0020,3,2,72.71281671524048
477,graph,6,50,0020,3,3,37.09305286407471
478,graph,6,50,0020,3,4,34.69495511054993
479,graph,6,50,0020,3,5,31.0090229511261
480,graph,6,50,0020,3,6,30.67207622528076
481,graph,6,50,0020,3,7,29.542948484420776
482,graph,6,50,0020,3,8,14.283770084381104
483,graph,6,50,0020,4,2,75.6481077671051
484,graph,6,50,0020,4,3,41.11745858192444
485,graph,6,50,0020,4,4,47.97087073326111
486,graph,6,50,0020,4,5,41.43111062049866
487,graph,6,50,0020,4,6,41.08264660835266
488,graph,6,50,0020,4,7,42.7342803478241
489,graph,6,50,0020,4,8,37.911556005477905
490,graph,6,50,0021,0,2,84.28705859184265
491,graph,6,50,0021,0,3,39.99795889854431
492,graph,6,50,0021,0,4,38.039350748062134
493,graph,6,50,0021,0,5,35.51983618736267
494,graph,6,50,0021,0,6,36.877317905426025
495,graph,6,50,0021,0,7,31.9852192401886
496,graph,6,50,0021,0,8,36.09755992889404
497,graph,6,50,0021,1,2,54.43230414390564
498,graph,6,50,0021,1,3,31.329811096191406
499,graph,6,50,0021,1,4,28.56867504119873
500,graph,6,50,0021,1,5,25.204136848449707
501,graph,6,50,0021,1,6,25.350879192352295
502,graph,6,50,0021,1,7,25.410585641860962
503,graph,6,50,0021,1,8,24.94283890724182
504,graph,6,50,0021,2,2,57.92848873138428
505,graph,6,50,0021,2,3,30.988497972488403
506,graph,6,50,0021,2,4,26.517101287841797
507,graph,6,50,0021,2,5,26.455618381500244
508,graph,6,50,0021,2,6,28.81530785560608
509,graph,6,50,0021,2,7,27.038817882537842
510,graph,6,50,0021,2,8,23.311643600463867
511,graph,6,50,0021,3,2,69.4731502532959
512,graph,6,50,0021,3,3,33.80009341239929
513,graph,6,50,0021,3,4,37.30574083328247
514,graph,6,50,0021,3,5,37.165279150009155
515,graph,6,50,0021,3,6,40.92505955696106
516,graph,6,50,0021,3,7,17.619974613189697
517,graph,6,50,0021,3,8,17.609174728393555
518,graph,6,50,0021,4,2,62.35141372680664
519,graph,6,50,0021,4,3,27.18087100982666
520,graph,6,50,0021,4,4,26.97627305984497
521,graph,6,50,0021,4,5,26.510493755340576
522,graph,6,50,0021,4,6,25.527422666549683
523,graph,6,50,0021,4,7,24.619351863861084
524,graph,6,50,0021,4,8,23.26018714904785
525,graph,6,50,0022,0,2,62.92013883590698
526,graph,6,50,0022,0,3,36.10873603820801
527,graph,6,50,0022,0,4,35.47796010971069
528,graph,6,50,0022,0,5,34.24948835372925
529,graph,6,50,0022,0,6,34.04837894439697
530,graph,6,50,0022,0,7,33.83097958564758
531,graph,6,50,0022,0,8,32.54615545272827
532,graph,6,50,0022,1,2,66.18021082878113
533,graph,6,50,0022,1,3,27.75296640396118
534,graph,6,50,0022,1,4,27.147035837173462
535,graph,6,50,0022,1,5,27.143532514572144
536,graph,6,50,0022,1,6,25.128257751464844
537,graph,6,50,0022,1,7,23.7469003200531
538,graph,6,50,0022,1,8,16.044172763824463
539,graph,6,50,0022,2,2,73.1931505203247
540,graph,6,50,0022,2,3,34.689265966415405
541,graph,6,50,0022,2,4,37.67434644699097
542,graph,6,50,0022,2,5,40.22176384925842
543,graph,6,50,0022,2,6,16.753791332244873
544,graph,6,50,0022,2,7,16.899821996688843
545,graph,6,50,0022,2,8,16.661916494369507
546,graph,6,50,0022,3,2,68.20906972885132
547,graph,6,50,0022,3,3,31.651201486587524
548,graph,6,50,0022,3,4,33.106425762176514
549,graph,6,50,0022,3,5,33.285605669021606
550,graph,6,50,0022,3,6,28.598968267440796
551,graph,6,50,0022,3,7,27.948650360107422
552,graph,6,50,0022,3,8,26.931444883346558
553,graph,6,50,0022,4,2,72.23144888877869
554,graph,6,50,0022,4,3,36.918437004089355
555,graph,6,50,0022,4,4,36.400487184524536
556,graph,6,50,0022,4,5,34.603694915771484
557,graph,6,50,0022,4,6,31.635099411010742
558,graph,6,50,0022,4,7,30.622811794281006
559,graph,6,50,0022,4,8,31.28243613243103
560,graph,6,50,0023,0,2,67.23090052604675
561,graph,6,50,0023,0,3,34.76458787918091
562,graph,6,50,0023,0,4,33.129767179489136
563,graph,6,50,0023,0,5,35.47142791748047
564,graph,6,50,0023,0,6,35.04762935638428
565,graph,6,50,0023,0,7,34.89249587059021
566,graph,6,50,0023,0,8,16.500463247299194
567,graph,6,50,0023,1,2,69.35068464279175
568,graph,6,50,0023,1,3,32.18444895744324
569,graph,6,50,0023,1,4,34.896196365356445
570,graph,6,50,0023,1,5,35.8497040271759
571,graph,6,50,0023,1,6,37.854471921920776
572,graph,6,50,0023,1,7,35.9303936958313
573,graph,6,50,0023,1,8,33.5784330368042
574,graph,6,50,0023,2,2,70.16164755821228
575,graph,6,50,0023,2,3,39.143078565597534
576,graph,6,50,0023,2,4,38.05107498168945
577,graph,6,50,0023,2,5,40.05823349952698
578,graph,6,50,0023,2,6,41.96624827384949
579,graph,6,50,0023,2,7,40.881776332855225
580,graph,6,50,0023,2,8,39.57490873336792
