,nprogs,prob,iter,jac
85,7,0.3,0,0.0
86,7,0.3,1,0.4444444444444444
87,7,0.3,2,0.4444444444444444
88,7,0.3,3,0.25
89,7,0.3,4,0.4444444444444444
90,7,0.4,0,0.0
91,7,0.4,1,0.4444444444444444
92,7,0.4,2,0.4444444444444444
93,7,0.4,3,0.0
94,7,0.4,4,0.0
95,7,0.5,0,0.6
96,7,0.5,1,0.0
97,7,0.5,2,0.0
98,7,0.5,3,0.6
99,7,0.5,4,0.0
100,7,0.6,0,0.4444444444444444
101,7,0.6,1,0.0
102,7,0.6,2,0.0
103,7,0.6,3,0.0
104,7,0.6,4,0.0
105,7,0.7,0,0.0
106,7,0.7,1,0.0
107,7,0.7,2,0.0
108,7,0.7,3,0.0
109,7,0.7,4,0.6
110,7,0.8,0,0.0
111,7,0.8,1,0.0
112,7,0.8,2,0.0
113,7,0.8,3,0.0
114,7,0.8,4,0.6
115,7,0.9,0,0.0
116,7,0.9,1,0.6
117,7,0.9,2,0.0
118,7,0.9,3,0.0
119,7,0.9,4,0.0
120,8,0.2,0,0.5454545454545454
121,8,0.2,1,0.6666666666666667
122,8,0.2,2,0.2222222222222222
123,8,0.2,3,0.4
124,8,0.2,4,0.2222222222222222
125,8,0.3,0,0.2222222222222222
126,8,0.3,1,0.5454545454545454
127,8,0.3,2,0.2222222222222222
128,8,0.3,3,0.4
129,8,0.3,4,0.4
130,8,0.4,0,0.0
131,8,0.4,1,0.4
132,8,0.4,2,0.4
133,8,0.4,3,0.2222222222222222
134,8,0.4,4,0.5454545454545454
135,8,0.5,0,0.6666666666666667
136,8,0.5,1,0.4
137,8,0.5,2,0.2222222222222222
138,8,0.5,3,0.6666666666666667
139,8,0.5,4,0.2222222222222222
140,8,0.6,0,0.4
141,8,0.6,1,0.4
142,8,0.6,2,0.0
143,8,0.6,3,0.2222222222222222
144,8,0.6,4,0.0
145,8,0.7,0,0.0
146,8,0.7,1,0.2222222222222222
147,8,0.7,2,0.0
148,8,0.7,3,0.2222222222222222
149,8,0.7,4,0.4
150,8,0.8,0,0.2222222222222222
151,8,0.8,1,0.2222222222222222
152,8,0.8,2,0.0
153,8,0.8,3,0.2222222222222222
154,8,0.8,4,0.4
155,8,0.9,0,0.0
156,8,0.9,1,0.6666666666666667
157,8,0.9,2,0.2222222222222222
158,8,0.9,3,0.2222222222222222
159,8,0.9,4,0.2222222222222222
160,9,0.2,0,0.36363636363636365
161,9,0.2,1,0.36363636363636365
162,9,0.2,2,0.36363636363636365
163,9,0.2,3,0.36363636363636365
164,9,0.2,4,0.0
165,9,0.3,0,0.0
166,9,0.3,1,0.5
167,9,0.3,2,0.5
168,9,0.3,3,0.36363636363636365
169,9,0.3,4,0.5
170,9,0.4,0,0.0
171,9,0.4,1,0.36363636363636365
172,9,0.4,2,0.36363636363636365
173,9,0.4,3,0.19999999999999996
174,9,0.4,4,0.5
175,9,0.5,0,0.6153846153846154
176,9,0.5,1,0.36363636363636365
177,9,0.5,2,0.36363636363636365
178,9,0.5,3,0.36363636363636365
179,9,0.5,4,0.0
180,9,0.6,0,0.36363636363636365
181,9,0.6,1,0.36363636363636365
182,9,0.6,2,0.0
183,9,0.6,3,0.19999999999999996
184,9,0.6,4,0.0
185,9,0.7,0,0.0
186,9,0.7,1,0.0
187,9,0.7,2,0.0
188,9,0.7,3,0.0
189,9,0.7,4,0.36363636363636365
190,9,0.8,0,0.19999999999999996
191,9,0.8,1,0.0
192,9,0.8,2,0.0
193,9,0.8,3,0.0
194,9,0.8,4,0.36363636363636365
195,9,0.9,0,0.0
196,9,0.9,1,0.36363636363636365
197,9,0.9,2,0.36363636363636365
198,9,0.9,3,0.19999999999999996
199,9,0.9,4,0.0
200,10,0.2,0,0.33333333333333337
201,10,0.2,1,0.18181818181818177
202,10,0.2,2,0.33333333333333337
203,10,0.2,3,0.33333333333333337
204,10,0.2,4,0.18181818181818177
205,10,0.3,0,0.33333333333333337
206,10,0.3,1,0.46153846153846156
207,10,0.3,2,0.46153846153846156
208,10,0.3,3,0.5714285714285714
209,10,0.3,4,0.18181818181818177
210,10,0.4,0,0.33333333333333337
211,10,0.4,1,0.33333333333333337
212,10,0.4,2,0.18181818181818177
213,10,0.4,3,0.46153846153846156
214,10,0.4,4,0.46153846153846156
215,10,0.5,0,0.46153846153846156
216,10,0.5,1,0.33333333333333337
217,10,0.5,2,0.18181818181818177
218,10,0.5,3,0.33333333333333337
219,10,0.5,4,0.0
220,10,0.6,0,0.33333333333333337
221,10,0.6,1,0.33333333333333337
222,10,0.6,2,0.18181818181818177
223,10,0.6,3,0.5714285714285714
224,10,0.6,4,0.0
225,10,0.7,0,0.33333333333333337
226,10,0.7,1,0.33333333333333337
227,10,0.7,2,0.0
228,10,0.7,3,0.18181818181818177
229,10,0.7,4,0.18181818181818177
230,10,0.8,0,0.18181818181818177
231,10,0.8,1,0.18181818181818177
232,10,0.8,2,0.46153846153846156
233,10,0.8,3,0.5714285714285714
234,10,0.8,4,0.0
235,10,0.9,0,0.0
236,10,0.9,1,0.46153846153846156
237,10,0.9,2,0.18181818181818177
238,10,0.9,3,0.46153846153846156
239,10,0.9,4,0.18181818181818177
